4,483504.550448,4207860.786452
6,483400.003015,4207977.265239
7,483076.819699,4207695.772804
8,482060.198087,4207489.527866
10,483510.216118,4207818.845119
11,483529.504361,4207915.973313
16,487579.500259,4206354.630363
17,483240.861164,4207998.989055
18,483390.535334,4207882.902879
19,483428.486275,4207788.013525
20,487444.493153,4206524.374686
21,484401.817599,4215880.182950
25,483064.980133,4207982.244954
27,482960.272317,4207661.168457
28,483026.843301,4207949.666812
29,483999.604648,4208602.036493
31,487652.315318,4206691.458529
32,484078.070828,4215528.092492
35,487495.824010,4206457.228734
36,484496.512530,4216003.069125
37,482847.183761,4208472.112460
38,483355.803691,4207865.111199
40,487389.503933,4206490.776152
41,484026.156102,4208638.412809
43,487370.475824,4206461.129273
44,484547.874884,4212914.821487
45,483436.686616,4207872.197197
46,482986.139289,4207859.098606
48,483045.218007,4207992.484943
49,487344.141667,4206408.798506
50,485550.882292,4207828.687038
51,487632.207788,4206342.914613
52,481981.127777,4207522.693161
54,484156.141373,4212958.537074
55,487075.375045,4206908.164989
61,484420.662556,4216251.056824
63,487536.807423,4206362.548018
64,482853.039022,4208285.321827
65,483349.460283,4207766.926502
66,482933.261116,4207656.554261
67,482086.121234,4208909.004378
68,482971.038341,4208247.445880
69,481671.304281,4207952.792694
70,483332.387025,4207888.155641
71,483547.836142,4207823.538214
76,487317.382723,4206611.257905
78,484398.699770,4215667.664118
80,484739.629125,4216392.745952
81,486608.477494,4207959.009082
83,485196.324579,4208201.305622
84,486569.384845,4207979.045838
85,483014.057941,4207925.577638
86,481946.683014,4206186.851805
87,483294.303139,4213424.655551
89,484023.932435,4209078.017017
90,482815.143785,4207693.115903
92,485345.260707,4208268.196007
93,483568.335895,4207827.576710
94,482021.232945,4207984.388951
95,484761.293669,4208110.806106
96,484671.552987,4208087.286522
97,483182.049677,4207940.262432
98,483296.814522,4207898.929796
100,484385.469607,4216123.851907
101,487538.730783,4206856.893431
102,482522.108755,4206422.215190
103,482917.606670,4206628.897065
104,485105.724923,4208225.780050
105,483150.020361,4207712.539309
107,483089.181647,4208106.559990
109,482963.520095,4206927.063419
113,481616.839701,4208007.118697
114,487357.667569,4206838.325610
115,483933.423258,4215264.202934
117,482789.203687,4207599.052396
118,483418.593130,4207872.027969
119,483107.984061,4207967.102144
120,484123.306615,4215340.588207
122,487200.291977,4206716.697998
123,487605.324109,4206348.569706
125,484707.519590,4208098.970367
126,482095.225459,4207481.663821
127,484652.430825,4212728.764151
128,487112.311252,4206818.067899
129,487145.517507,4206771.892469
130,483468.287689,4207864.601926
131,483245.099994,4207738.503114
133,483360.000066,4213610.061213
135,485466.395412,4212266.946010
136,483700.889600,4207234.620966
137,486963.959689,4206535.661835
138,483543.376927,4207953.313997
140,481521.296241,4209280.035632
141,482097.436133,4212177.993946
142,485767.162326,4211192.573861
144,481918.548440,4206165.727262
146,484517.761860,4216548.074697
147,482623.844284,4207570.699982
148,480480.026388,4206565.264053
151,483735.463497,4208859.474848
153,482881.376266,4207673.707513
154,482018.303456,4208668.751564
155,484112.028156,4216467.680159
156,486518.335176,4207846.002911
157,483375.900899,4207838.474721
160,482395.389862,4208400.965891
161,487046.914279,4206159.776168
162,484365.280397,4216075.463598
163,483525.502603,4207816.272209
164,485793.493347,4210743.435695
165,484092.140669,4216410.197209
166,485723.773434,4211533.909600
167,484998.090334,4210520.171881
168,483369.057544,4213685.006768
169,483264.518590,4213096.768438
170,482940.137594,4210685.866793
171,482880.305456,4207637.563178
172,484411.232761,4216227.969500
173,482263.247237,4208479.470888
177,488915.851351,4206012.693897
178,485163.770401,4208198.981727
180,487528.660189,4208165.659138
181,484760.616724,4216389.343357
183,485395.943758,4208007.787789
184,484167.216072,4215553.116200
185,484502.418959,4216509.866940
186,484567.994196,4216355.566930
187,481546.467062,4207273.625969
190,483969.623320,4215110.986480
192,487261.892409,4209107.313572
193,485293.620911,4208320.331018
194,484060.918852,4208606.568372
195,484642.274433,4216432.193877
196,483529.394962,4208141.047316
197,482966.440942,4208642.343711
198,483385.910502,4207937.858472
199,481692.746680,4207924.913320
200,486200.377271,4208719.435046
201,483344.370491,4211526.975413
202,481431.259028,4208156.800451
203,483127.938154,4208051.751627
204,483298.308731,4207750.945898
205,487680.894977,4206331.836524
209,485622.740962,4208152.823062
210,486140.757837,4207076.145718
211,481898.264470,4207560.705645
216,487064.691413,4206107.182757
217,480803.261423,4209504.413668
218,480669.881680,4209587.415147
219,482058.845450,4208635.984881
220,487589.719722,4206979.013294
221,487302.388676,4206329.376351
222,483370.945547,4207811.300017
224,484407.467433,4215632.545891
225,485715.229271,4211357.488995
226,484527.117012,4215883.294125
227,483273.712932,4213147.597106
228,483468.687711,4207802.142592
229,483375.773528,4207908.155567
230,482953.987539,4207781.026013
231,487496.575948,4208190.811494
232,484769.760824,4216322.975206
233,482999.660983,4208219.726507
234,480211.973086,4210078.050572
235,487385.687472,4206539.041308
237,484629.255800,4212869.964431
238,485640.258834,4212000.687554
239,487644.793297,4206888.095372
241,483461.161430,4211492.336522
243,483389.002770,4208010.522192
244,486107.014296,4207097.714232
245,481418.856541,4208163.451008
247,484627.721529,4212903.950745
250,482994.146560,4211764.049174
252,486724.419006,4207821.026503
253,486749.922670,4207781.586684
257,483207.212873,4207931.684488
258,485241.524928,4208349.360163
259,482693.212173,4207587.601915
263,484204.233934,4215563.384601
265,485211.279909,4208161.464268
266,480563.496097,4206654.654706
268,486096.178989,4208557.177225
269,484751.839556,4209769.471153
270,486712.616126,4208439.453483
272,484522.322002,4209487.406487
274,483283.606478,4207808.986061
275,483457.621973,4208299.137679
276,483630.459963,4207280.473907
277,481830.897091,4206755.850682
278,485070.344272,4206843.499061
279,484229.574357,4216769.846881
280,480502.770067,4206683.691289
282,482016.105401,4206010.906980
283,483490.647725,4207401.534127
284,481829.032965,4207441.318529
285,483560.806911,4211444.783645
287,484964.522420,4206714.760544
288,483093.166500,4211952.329401
289,482974.480062,4211643.517339
291,485802.839373,4206772.791474
292,485888.083983,4206751.406251
