1,61,411,1
2,80,17012,1
3,17012,17013,1
4,17013,372,1
5,279,17014,1
6,17014,427,1
7,402,285,1
8,427,3843,1
9,518,17015,0
10,17015,17016,0
11,17016,3670,0
12,610,15918,1
13,15918,4191,1
14,622,15919,1
15,15919,900,1
16,623,15920,0
17,15920,299,0
18,740,17017,0
19,17017,17018,0
20,17018,17019,0
21,17019,17020,0
22,17020,1572,0
23,948,15921,1
24,15921,120,1
25,980,17021,0
26,17021,17022,0
27,17022,1043,0
28,997,15922,1
29,15922,4437,1
30,1029,17023,1
31,17023,17024,1
32,17024,17025,1
33,17025,280,1
34,1059,15923,0
35,15923,1060,0
36,1072,15924,0
37,15924,4164,0
38,1086,2902,0
39,1159,644,1
40,1209,15925,1
41,15925,4479,1
42,1233,15926,0
43,15926,4038,0
44,1271,17026,0
45,17026,17027,0
46,17027,17028,0
47,17028,17029,0
48,17029,17030,0
49,17030,2009,0
50,1282,17031,1
51,17031,17032,1
52,17032,2434,1
53,1287,1102,1
54,1294,1072,1
55,1296,15927,0
56,15927,1086,0
57,1300,17033,0
58,17033,17034,0
59,17034,17035,0
60,17035,3799,0
61,1331,15928,0
62,15928,2853,0
63,1334,17036,0
64,17036,17037,0
65,17037,17038,0
66,17038,17039,0
67,17039,17040,0
68,17040,17041,0
69,17041,17042,0
70,17042,3638,0
71,1349,4172,1
72,1372,15929,0
73,15929,3027,0
74,1384,17043,0
75,17043,17044,0
76,17044,1063,0
77,1395,15930,1
78,15930,1296,1
79,1419,17045,0
80,17045,17046,0
81,17046,17047,0
82,17047,1936,0
83,1433,1769,1
84,1453,17048,0
85,17048,17049,0
86,17049,4261,0
87,1456,17050,0
88,17050,17051,0
89,17051,3601,0
90,1461,3697,0
91,1473,15931,1
92,15931,3528,1
93,1483,15932,0
94,15932,2518,0
95,1507,17052,1
96,17052,17053,1
97,17053,2058,1
98,1540,17054,0
99,17054,17055,0
100,17055,2424,0
101,1557,17056,1
102,17056,17057,1
103,17057,3742,1
104,1571,15933,0
105,15933,1419,0
106,1572,17058,1
107,17058,17059,1
108,17059,3071,1
109,8413,15934,0
110,15934,3764,0
111,1624,4041,1
112,1626,17060,0
113,17060,17061,0
114,17061,17062,0
115,17062,2965,0
116,1661,3795,0
117,1671,2878,0
118,1694,17063,1
119,17063,17064,1
120,17064,2052,1
121,1762,900,1
122,1764,15935,0
123,15935,4619,0
124,1771,17065,1
125,17065,17066,1
126,17066,17067,1
127,17067,1247,1
128,1876,17068,0
129,17068,17069,0
130,17069,17070,0
131,17070,17071,0
132,17071,17072,0
133,17072,17073,0
134,17073,17074,0
135,17074,17075,0
136,17075,17076,0
137,17076,17077,0
138,17077,17078,0
139,17078,17079,0
140,17079,17080,0
141,17080,17081,0
142,17081,17082,0
143,17082,17083,0
144,17083,17084,0
145,17084,2147,0
146,1936,17085,0
147,17085,17086,0
148,17086,17087,0
149,17087,17088,0
150,17088,4237,0
151,2005,17089,0
152,17089,17090,0
153,17090,17091,0
154,17091,1282,0
155,2009,17092,0
156,17092,17093,0
157,17093,17094,0
158,17094,17095,0
159,17095,17096,0
160,17096,3418,0
